actor_id,film_id,last_update
1,1,2/15/06 10:05
1,23,2/15/06 10:05
1,25,2/15/06 10:05
1,106,2/15/06 10:05
1,140,2/15/06 10:05
1,166,2/15/06 10:05
1,277,2/15/06 10:05
1,361,2/15/06 10:05
1,438,2/15/06 10:05
1,499,2/15/06 10:05
1,506,2/15/06 10:05
1,509,2/15/06 10:05
1,605,2/15/06 10:05
1,635,2/15/06 10:05
1,749,2/15/06 10:05
1,832,2/15/06 10:05
1,939,2/15/06 10:05
1,970,2/15/06 10:05
1,980,2/15/06 10:05
2,3,2/15/06 10:05
2,31,2/15/06 10:05
2,47,2/15/06 10:05
2,105,2/15/06 10:05
2,132,2/15/06 10:05
2,145,2/15/06 10:05
2,226,2/15/06 10:05
2,249,2/15/06 10:05
2,314,2/15/06 10:05
2,321,2/15/06 10:05
2,357,2/15/06 10:05
2,369,2/15/06 10:05
2,399,2/15/06 10:05
2,458,2/15/06 10:05
2,481,2/15/06 10:05
2,485,2/15/06 10:05
2,518,2/15/06 10:05
2,540,2/15/06 10:05
2,550,2/15/06 10:05
2,555,2/15/06 10:05
2,561,2/15/06 10:05
2,742,2/15/06 10:05
2,754,2/15/06 10:05
2,811,2/15/06 10:05
2,958,2/15/06 10:05
3,17,2/15/06 10:05
3,40,2/15/06 10:05
3,42,2/15/06 10:05
3,87,2/15/06 10:05
3,111,2/15/06 10:05
3,185,2/15/06 10:05
3,289,2/15/06 10:05
3,329,2/15/06 10:05
3,336,2/15/06 10:05
3,341,2/15/06 10:05
3,393,2/15/06 10:05
3,441,2/15/06 10:05
3,453,2/15/06 10:05
3,480,2/15/06 10:05
3,539,2/15/06 10:05
3,618,2/15/06 10:05
3,685,2/15/06 10:05
3,827,2/15/06 10:05
3,966,2/15/06 10:05
3,967,2/15/06 10:05
3,971,2/15/06 10:05
3,996,2/15/06 10:05
4,23,2/15/06 10:05
4,25,2/15/06 10:05
4,56,2/15/06 10:05
4,62,2/15/06 10:05
4,79,2/15/06 10:05
4,87,2/15/06 10:05
4,355,2/15/06 10:05
4,379,2/15/06 10:05
4,398,2/15/06 10:05
4,463,2/15/06 10:05
4,490,2/15/06 10:05
4,616,2/15/06 10:05
4,635,2/15/06 10:05
4,691,2/15/06 10:05
4,712,2/15/06 10:05
4,714,2/15/06 10:05
4,721,2/15/06 10:05
4,798,2/15/06 10:05
4,832,2/15/06 10:05
4,858,2/15/06 10:05
4,909,2/15/06 10:05
4,924,2/15/06 10:05
5,19,2/15/06 10:05
5,54,2/15/06 10:05
5,85,2/15/06 10:05
5,146,2/15/06 10:05
5,171,2/15/06 10:05
5,172,2/15/06 10:05
5,202,2/15/06 10:05
5,203,2/15/06 10:05
5,286,2/15/06 10:05
5,288,2/15/06 10:05
5,316,2/15/06 10:05
5,340,2/15/06 10:05
5,369,2/15/06 10:05
5,375,2/15/06 10:05
5,383,2/15/06 10:05
5,392,2/15/06 10:05
5,411,2/15/06 10:05
5,503,2/15/06 10:05
5,535,2/15/06 10:05
5,571,2/15/06 10:05
5,650,2/15/06 10:05
5,665,2/15/06 10:05
5,687,2/15/06 10:05
5,730,2/15/06 10:05
5,732,2/15/06 10:05
5,811,2/15/06 10:05
5,817,2/15/06 10:05
5,841,2/15/06 10:05
5,865,2/15/06 10:05
6,29,2/15/06 10:05
6,53,2/15/06 10:05
6,60,2/15/06 10:05
6,70,2/15/06 10:05
6,112,2/15/06 10:05
6,164,2/15/06 10:05
6,165,2/15/06 10:05
6,193,2/15/06 10:05
6,256,2/15/06 10:05
6,451,2/15/06 10:05
6,503,2/15/06 10:05
6,509,2/15/06 10:05
6,517,2/15/06 10:05
6,519,2/15/06 10:05
6,605,2/15/06 10:05
6,692,2/15/06 10:05
6,826,2/15/06 10:05
6,892,2/15/06 10:05
6,902,2/15/06 10:05
6,994,2/15/06 10:05
7,25,2/15/06 10:05
7,27,2/15/06 10:05
7,35,2/15/06 10:05
7,67,2/15/06 10:05
7,96,2/15/06 10:05
7,170,2/15/06 10:05
7,173,2/15/06 10:05
7,217,2/15/06 10:05
7,218,2/15/06 10:05
7,225,2/15/06 10:05
7,292,2/15/06 10:05
7,351,2/15/06 10:05
7,414,2/15/06 10:05
7,463,2/15/06 10:05
7,554,2/15/06 10:05
7,618,2/15/06 10:05
7,633,2/15/06 10:05
